OES_TITLE,OCC,OCC_CODE
Telephone operators,5020,43-2021
"Communications equipment operators, all other",5040,43-2099
Bill and account collectors,5100,43-3011
Billing and posting clerks,5110,43-3021
"Bookkeeping, accounting, and auditing clerks",5120,43-3031
Gambling cage workers,5130,43-3041
Payroll and timekeeping clerks,5140,43-3051
Procurement clerks,5150,43-3061
Tellers,5160,43-3071
"Financial clerks, all other",5165,43-3099
Brokerage clerks,5200,43-4011
Correspondence clerks,5210,43-4021
"Court, municipal, and license clerks",5220,43-4031
"Credit authorizers, checkers, and clerks",5230,43-4041
Customer service representatives,5240,43-4051
"Eligibility interviewers, government programs",5250,43-4061
File clerks,5260,43-4071
"Hotel, motel, and resort desk clerks",5300,43-4081
"Interviewers, except eligibility and loan",5310,43-4111
"Library assistants, clerical",5320,43-4121
Loan interviewers and clerks,5330,43-4131
New accounts clerks,5340,43-4141
Order clerks,5350,43-4151
"Human resources assistants, except payroll and timekeeping",5360,43-4161
Receptionists and information clerks,5400,43-4171
Reservation and transportation ticket agents and travel clerks,5410,43-4181
"Information and record clerks, all other",5420,43-4199
Cargo and freight agents,5500,43-5011
Couriers and messengers,5510,43-5021
Public safety telecommunicators,5521,43-5031
"Dispatchers, except police, fire, and ambulance",5522,43-5032
"Meter readers, utilities",5530,43-5041
Postal service clerks,5540,43-5051
Postal service mail carriers,5550,43-5052
"Postal service mail sorters, processors, and processing machine operators",5560,43-5053
"Production, planning, and expediting clerks",5600,43-5061
"Shipping, receiving, and inventory clerks",5610,43-5071
"Weighers, measurers, checkers, and samplers, recordkeeping",5630,43-5111
Executive secretaries and executive administrative assistants,5710,43-6011
Legal secretaries and administrative assistants,5720,43-6012
Medical secretaries and administrative assistants,5730,43-6013
"Secretaries and administrative assistants, except legal, medical, and executive",5740,43-6014
Data entry keyers,5810,43-9021
Word processors and typists,5820,43-9022
Desktop publishers,5830,43-9031
Insurance claims and policy processing clerks,5840,43-9041
"Mail clerks and mail machine operators, except postal service",5850,43-9051
"Office clerks, general",5860,43-9061
"Office machine operators, except computer",5900,43-9071
Proofreaders and copy markers,5910,43-9081
Statistical assistants,5920,43-9111
"Office and administrative support workers, all other",5940,43-9199
"First-line supervisors of farming, fishing, and forestry workers",6005,45-1011
Agricultural inspectors,6010,45-2011
Animal breeders,6020,45-2021
"Graders and sorters, agricultural products",6040,45-2041
Miscellaneous agricultural workers,6050,45-2090
Fishing and hunting workers,6115,45-3031
Forest and conservation workers,6120,45-4011
Logging workers,6130,45-4020
First-line supervisors of construction trades and extraction workers,6200,47-1011
Boilermakers,6210,47-2011
"Brickmasons, blockmasons, and stonemasons",6220,47-2020
Carpenters,6230,47-2031
"Carpet, floor, and tile installers and finishers",6240,47-2040
"Cement masons, concrete finishers, and terrazzo workers",6250,47-2050
Construction laborers,6260,47-2061
Construction equipment operators,6305,47-2070
"Drywall installers, ceiling tile installers, and tapers",6330,47-2080
Electricians,6355,47-2111
Glaziers,6360,47-2121
Insulation workers,6400,47-2130
Painters and paperhangers,6410,47-2140
Pipelayers,6441,47-2151
"Plumbers, pipefitters, and steamfitters",6442,47-2152
Plasterers and stucco masons,6460,47-2161
Reinforcing iron and rebar workers,6500,47-2171
Roofers,6515,47-2181
Sheet metal workers,6520,47-2211
Structural iron and steel workers,6530,47-2221
Solar photovoltaic installers,6540,47-2231
"Helpers, construction trades",6600,47-3010
Construction and building inspectors,6660,47-4011
Elevator and escalator installers and repairers,6700,47-4021
Fence erectors,6710,47-4031
Hazardous materials removal workers,6720,47-4041
Highway maintenance workers,6730,47-4051
Rail-track laying and maintenance equipment operators,6740,47-4061
Septic tank servicers and sewer pipe cleaners,6750,47-4071
Miscellaneous construction and related workers,6765,47-4090
"Derrick, rotary drill, and service unit operators, oil and gas  ",6800,47-5010
"Excavating and loading machine and dragline operators, surface mining",6821,47-5022
"Earth drillers, except oil and gas",6825,47-5023
"Explosives workers, ordnance handling experts, and blasters",6835,47-5032
Underground mining machine operators,6850,47-5040
"Roustabouts, oil and gas",6920,47-5071
Other extraction workers,6950,47-50XX
"First-line supervisors of mechanics, installers, and repairers",7000,49-1011
"Computer, automated teller, and office machine repairers",7010,49-2011
Radio and telecommunications equipment installers and repairers,7020,49-2020
Avionics technicians,7030,49-2091
"Electric motor, power tool, and related repairers",7040,49-2092
"Electrical and electronics installers and repairers, transportation equipment",7050,49-2093
"Electrical and electronics repairers, industrial and utility ",7100,49-209X
"Electronic equipment installers and repairers, motor vehicles",7110,49-2096
Audiovisual equipment installers and repairers ,7120,49-2097
Security and fire alarm systems installers,7130,49-2098
Aircraft mechanics and service technicians,7140,49-3011
Automotive body and related repairers,7150,49-3021
Automotive glass installers and repairers,7160,49-3022
Automotive service technicians and mechanics,7200,49-3023
Bus and truck mechanics and diesel engine specialists,7210,49-3031
Heavy vehicle and mobile equipment service technicians and mechanics,7220,49-3040
Small engine mechanics,7240,49-3050
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",7260,49-3090
Control and valve installers and repairers,7300,49-9010
"Heating, air conditioning, and refrigeration mechanics and installers",7315,49-9021
Home appliance repairers,7320,49-9031
Industrial and refractory machinery mechanics,7330,49-904X
"Maintenance and repair workers, general",7340,49-9071
"Maintenance workers, machinery",7350,49-9043
Millwrights,7360,49-9044
Electrical power-line installers and repairers,7410,49-9051
Telecommunications line installers and repairers,7420,49-9052
Precision instrument and equipment repairers,7430,49-9060
Wind turbine service technicians,7440,49-9081
"Coin, vending, and amusement machine servicers and repairers",7510,49-9091
Commercial divers,7520,49-9092
Locksmiths and safe repairers,7540,49-9094
Manufactured building and mobile home installers,7550,49-9095
Riggers,7560,49-9096
"Helpers--installation, maintenance, and repair workers",7610,49-9098
"Other installation, maintenance, and repair workers",7640,49-909X
First-line supervisors of production and operating workers,7700,51-1011
"Aircraft structure, surfaces, rigging, and systems assemblers",7710,51-2011
"Electrical, electronics, and electromechanical assemblers",7720,51-2020
Engine and other machine assemblers,7730,51-2031
Structural metal fabricators and fitters,7740,51-2041
Other assemblers and fabricators,7750,51-20XX
Bakers,7800,51-3011
"Butchers and other meat, poultry, and fish processing workers",7810,51-3020
"Food and tobacco roasting, baking, and drying machine operators and tenders",7830,51-3091
Food batchmakers,7840,51-3092
Food cooking machine operators and tenders,7850,51-3093
"Food processing workers, all other",7855,51-3099
Computer numerically controlled tool operators and programmers,7905,51-9160
"Forming machine setters, operators, and tenders, metal and plastic",7925,51-4020
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",7950,51-4031
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",8000,51-4033
"Other machine tool setters, operators, and tenders, metal and plastic",8025,51-403X
Machinists,8030,51-4041
"Metal furnace operators, tenders, pourers, and casters",8040,51-4050
"Model makers and patternmakers, metal and plastic",8060,51-4060
"Molders and molding machine setters, operators, and tenders, metal and plastic",8100,51-4070
Tool and die makers,8130,51-4111
"Welding, soldering, and brazing workers",8140,51-4120
Other metal workers and plastic workers,8225,51-4XXX
Prepress technicians and workers,8250,51-5111
Printing press operators,8255,51-5112
Print binding and finishing workers,8256,51-5113
Laundry and dry-cleaning workers,8300,51-6011
"Pressers, textile, garment, and related materials",8310,51-6021
Sewing machine operators,8320,51-6031
Shoe and leather workers,8335,51-6040
"Tailors, dressmakers, and sewers",8350,51-6050
"Textile machine setters, operators, and tenders",8365,51-6060
Upholsterers,8450,51-6093
"Other textile, apparel, and furnishings workers",8465,51-609X
Cabinetmakers and bench carpenters,8500,51-7011
Furniture finishers,8510,51-7021
"Sawing machine setters, operators, and tenders, wood",8530,51-7041
"Woodworking machine setters, operators, and tenders, except sawing",8540,51-7042
Other woodworkers,8555,51-70XX
"Power plant operators, distributors, and dispatchers",8600,51-8010
Stationary engineers and boiler operators,8610,51-8021
Water and wastewater treatment plant and system operators,8620,51-8031
Miscellaneous plant and system operators,8630,51-8090
"Chemical processing machine setters, operators, and tenders",8640,51-9010
"Crushing, grinding, polishing, mixing, and blending workers",8650,51-9020
Cutting workers,8710,51-9030
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",8720,51-9041
"Furnace, kiln, oven, drier, and kettle operators and tenders",8730,51-9051
"Inspectors, testers, sorters, samplers, and weighers",8740,51-9061
Jewelers and precious stone and metal workers,8750,51-9071
Dental and ophthalmic laboratory technicians and medical appliance technicians,8760,51-9080
Packaging and filling machine operators and tenders,8800,51-9111
Painting workers,8810,51-9120
Photographic process workers and processing machine operators,8830,51-9151
Adhesive bonding machine operators and tenders,8850,51-9191
Etchers and engravers,8910,51-9194
"Molders, shapers, and casters, except metal and plastic",8920,51-9195
"Paper goods machine setters, operators, and tenders",8930,51-9196
Tire builders,8940,51-9197
Helpers--production workers,8950,51-9198
Other production equipment operators and tenders,8865,51-919X
Other production workers,8990,51-91XX
Supervisors of transportation and material moving workers,9005,53-1000
Aircraft pilots and flight engineers,9030,53-2010
Air traffic controllers and airfield operations specialists,9040,53-2020
Flight attendants,9050,53-2031
"Ambulance drivers and attendants, except emergency medical technicians",9110,53-3011
"Bus drivers, school",9121,53-3051
"Bus drivers, transit and intercity",9122,53-3052
Driver/sales workers and truck drivers,9130,53-3030
Shuttle drivers and chauffeurs,9141,53-3053
Taxi drivers,9142,53-3054
"Motor vehicle operators, all other",9150,53-3099
Locomotive engineers and operators,9210,53-4010
Railroad conductors and yardmasters,9240,53-4031
Other rail transportation workers,9265,53-40XX
Sailors and marine oilers,9300,53-5011
Ship and boat captains and operators,9310,53-5020
Ship engineers ,9330,53-5031
Parking attendants,9350,53-6021
Transportation service attendants,9365,53-6030
Transportation inspectors,9410,53-6051
Passenger attendants,9415,53-6061
Other transportation workers,9430,53-60XX
Crane and tower operators,9510,53-7021
"Conveyor, dredge, and hoist and winch operators",9570,53-70XX
Industrial truck and tractor operators,9600,53-7051
Cleaners of vehicles and equipment,9610,53-7061
"Laborers and freight, stock, and material movers, hand",9620,53-7062
Machine feeders and offbearers,9630,53-7063
"Packers and packagers, hand",9640,53-7064
Stockers and order fillers,9645,53-7065
Pumping station operators,9650,53-7070
Refuse and recyclable material collectors,9720,53-7081
Other material moving workers,9760,53-71XX
Military officer special and tactical operations leaders,9800,55-1010
First-line enlisted military supervisors,9810,55-2010
Military enlisted tactical operations and air/weapons specialists and crew members,9825,55-3010
"Military, rank not Specified",9830,none
"Unemployed, with no work experience in the last 5 years or earlier or never worked",9920,none
